Organization Name,Address,City,State,Zip,Longitude,Latitude,Website,Phone Number,Description of Services,BASIC NEEDS,Clothing ,Financial assistance,Food,Emergency shelter,Housing/Shelter,Safe space,Youth drop-in centers,EARLY CHILDHOOD & PARENTING ,Child care/Day care ,Fatherhood programs,"Head Start/Early Head Start, preschool",Home visiting for pregnant/parenting teens,"Pregnant/parenting classes, counseling, support groups",EDUCATION,Academic counseling,"Arts (music, dance, writing, spoken word, language)",Behavioral/self-management programs/workshops,Civic engagement,"College readiness, counseling, career prep",Computer literacy/training,Enrichment field trips,Financial literacy,High school/GED completion,Homework help,Leadership/character development ,"Out of school, chronically truant youth counseling, re-engagement","Reading, literacy",Service learning,"STEM/STEAM (science, technology, engineering, math, arts)",Tutoring ,Vocational skills,EMPLOYMENT,Job placement (long-term),Job training/Workforce preparation,"Youth workforce preparation, employment",FAMILY STABILITY,"Adoption services, support","Domestic violence support, counseling",Family support,"Foster care services, support",Re-entry support programs for ex-offenders,HEALTH & WELLNESS,Anger management counseling,At-risk youth counseling,"Behavioral/mental health counseling, services",Behavior self-management programs,Cessation programs,Dental care,"Domestic violence support, counseling",Family and child counseling,"Family planning, birth control","Health clinics (primary care, family medicine, federally-qualified health centers)",Health literacy; connect to health services.,"HIV/AIDS testing, treatment",Immunizations/Vaccinations,Management of chronic conditions,Men's health services,"Mental health counseling, services","Nutrition and wellness programs, counseling",Physical activity/sports,"Preventive health (includes prenatal, dental, vision, cancer screenings)",Re-entry support programs for ex-offenders,"School, sports physicals",Sexual assault counseling,Sexually transmitted disease (STD) testing,"Substance abuse/addiction counseling, treatment",Vision care,Women's health services,HOTLINES/HELPLINES,Child abuse reporting,Crisis,Domestic violence,HIV/STI/STD Hotline,Rape,Trauma,VIOLENCE PREVENTION,At-risk youth counseling,"Domestic violence support, counseling",Engage youth to prevent gang participation,"Out of school/chronically truant youth counseling, re-engagement",Re-entry support programs for ex-offenders,Safe space,"Violence prevention workshop, peace circles",YOUTH ENGAGEMENT,After school programs,"Arts (music, dance, writing, spoken word, language)",Civic engagement,Engage youth to prevent gang participation,Enrichment field trips,"Leadership, character development",Mentoring ,"Out of school, chronically truant youth counseling, re-engagement",Service learning,"Sports, recreation","Summer programs, camp",Volunteer opportunities,Youth clubs,
A Knock at Midnight,"400 W 76th St, Suite 206",Chicago,IL,60620,-87.635098,41.756673,https://www.akamworks.org,773- 488-2960,"Programs include Job Readiness and Financial Literacy, CPS Truancy Dropout Prevention, Teen REACH after-school program, HIV/AIDS Outreach, Computer Literacy Trainings, Youth Employment, Life Skills, and The Juvenile Justice Outreach.",,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,
A Knock at Midnight Basic Computer Literacy Training,"400 W 76th St, Suite 206",Chicago,IL,60620,-87.635098,41.756673,https://www.akamworks.org,773- 488-2960,"Basic computer literacy trainings encompass  introduction to Windows, basic PC operation, fundamentals of word processing (Microsoft Word), introduction to spread sheets (Microsoft Excel),  fundamentals of Microsoft PowerPoint, navigating the internet, and E-mail fundamentals to increase and improve basic computer literacy skills and/or improve employability.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Knock at Midnight Family Advocacy Center,"400 W 76th St, Suite 206",Chicago,IL,60620,-87.635098,41.756673,https://www.akamworks.org,773- 488-2960,"The Family Advocacy program is designed to develop family support systems that help families to identify their strengths and needs and develop strategies to resolve challenges and accomplish goals to improve their quality of life, leading families to sufficiency.  Assists families in working toward reunification.  Families are assessed for advocacy, mediation, prevention and Intervention strategies.  Many direct advocacy services and trainings are provided on-site and other services are provided through community linkages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Knock at Midnight Teen REACH program,"400 W 76th St, Suite 206",Chicago,IL,60620,-87.635098,41.756673,https://www.akamworks.org,773- 488-2960,"The Teen REACH program was designed to create and expand the range of choices and opportunities that enable, empower and encourage youth to achieve positive growth and development, improve expectations and capacities for future success, and avoid and/or reduce risk-taking behavior.  The program curriculums encompass workshops and activities that improve academic performance, increase basic social skills, enhance life skills, heighten parental involvement and awareness, sustain positive adult mentor relationships, and raise participation.",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
A Knock at Midnight Workforce Preparation,"400 W 76th St, Suite 206",Chicago,IL,60620,-87.635098,41.756673,https://www.akamworks.org,773- 488-2960,"Today's job market requires considerably more qualifications than in the past.  AKAM's Workforce Preparation training is designed to prepare you for such situations.  No matter what your goals are, our staff is committed to cultivating your skills and promoting self-sufficiency.  Workforce Preparation courses are four-week sessions, which occur Thursdays, from 2:30-4:30pm.  Objectives: Resume Preparation, Microsoft Office applications, Decorum & Attire, Employment Placement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Life MBC Food Pantry,2306 W 69th St,Chicago,IL,60636,-87.681129,41.768374,https://www.chicagosfoodbank.org/locations/abundant-life-mbc/,773- 434-7875,HOURS Wednesday: 9:00 am - 11:00 am.  SERVICE AREA: N: 63rd - S: 74th - E: Ashland - W: Kedzie,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS Ashland Family Health Center ,5159 S. Ashland Ave,Chicago,IL,60609,-87.664483,41.799980,https://www.achn.net/locations/location-pages/access-ashland-family-health-center/,773-434-9216,"Family practice, internal medicine, pediatrics, obstetrics and gynecology, midwifery, school/sports physicals, behavioral health, breast/cervical cancer screenings, benefits counseling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Things Through Christ Food Pantry,6600 S Hermitage Ave,Chicago,IL,60636,-87.667759,41.773799,https://www.chicagosfoodbank.org/locations/all-things-through-christ/,708-214-9075,HOURS Saturday 9:00 am - 11:00 am.  SERVICE AREA: Zip Code 60636 and N: 63rd St - S: 71st St. - E: Loomis - W: Western,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison's Infant & Toddler Center,5522 S Racine Ave,Chicago,IL,60636,-87.654889,41.793090,https://www.allisonsinfantsandtoddlers.com,773- 436-3139,"Head-Start, Early Head-Start, Preschool for All, prevention initiatives, and Child and Adult Care Food Program (CACFP). Ages 6 weeks to 6 years.
",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternatives, Inc.","710 E 47th St, 2nd Floor",Chicago,IL,60653,-87.608370,41.809922,https://www.alternativesyouth.org,773- 506-7474,"Individual and group counseling, substance abuse treatment, family intervention, career and employment services, Girl World (youth development activities for girls), youth collaboration, preventive programs, restorative justice, and arts program.",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
