14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-20-202-011-0000,6325,S,ABERDEEN,ST,3118,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6325 S ABERDEEN ST
CHICAGO, IL
(41.778897, -87.652056)"
20-21-110-019-0000,627,W,64TH,ST,2661,20,ENGLEWOOD,PD 74,Englewood Neighborhood,"627 W 64TH ST
CHICAGO, IL
(41.777988, -87.64098)"
20-20-405-007-0000,6717,S,SANGAMON,,3115,6,ENGLEWOOD,RS-3,NOT IN TIF,"6717 S SANGAMON
CHICAGO, IL
(41.772135, -87.648242)"
20-21-113-028-0000,6430,S,EGGLESTON,AVE,6149,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6430 S EGGLESTON AVE
CHICAGO, IL
(41.77705, -87.636232)"
20-21-306-010-0000,6833,S,HALSTED,ST,3158,6,ENGLEWOOD,B1-2,67th/Wentworth,"6833 S HALSTED ST
CHICAGO, IL
(41.769664, -87.644527)"
20-16-302-013-0000,5938,S,WALLACE,ST,3008,20,ENGLEWOOD,M1-2,Englewood Neighborhood,"5938 S WALLACE ST
CHICAGO, IL
(41.785932, -87.640072)"
20-16-209-048-0000,5748,S,PRINCETON,AVE,5275,20,ENGLEWOOD,RS-3,NOT IN TIF,"5748 S PRINCETON AVE
CHICAGO, IL
(41.789414, -87.632876)"
20-16-307-035-0000,714,W,60TH,PL,3105,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"714 W 60TH PL
CHICAGO, IL
(41.784226, -87.64315)"
20-16-204-014-0000,5611,S,WENTWORTH,AVE,3047,3,ENGLEWOOD,B3-1,Washington Park,"5611 S WENTWORTH AVE
CHICAGO, IL
(41.792244, -87.630438)"
20-09-329-037-0000,620,W,55TH,ST,3091,20,NEW CITY,RS-3,47th/Halsted,"620 W 55TH ST
CHICAGO, IL
(41.794417, -87.640831)"
20-17-431-010-0000,6231,S,GREEN,ST,3024,16,ENGLEWOOD,PD 1227,Englewood Mall,"6231 S GREEN ST
CHICAGO, IL
(41.780626, -87.646217)"
20-21-105-042-0000,516,W,64TH,ST,2344,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"516 W 64TH ST
CHICAGO, IL
(41.778019, -87.638182)"
20-16-315-096-0000,6113,S,HALSTED,,972,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"6113 S HALSTED
CHICAGO, IL
(41.782982, -87.644861)"
20-17-401-012-0000,5915,S,MAY,ST,3180,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5915 S MAY ST
CHICAGO, IL
(41.786434, -87.653465)"
20-16-300-040-0000,740,W,60TH,ST,3809,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"740 W 60TH ST
CHICAGO, IL
(41.78506, -87.644)"
20-17-423-073-0000,807,W,61ST,ST,894,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"807 W 61ST ST
CHICAGO, IL
(41.783386, -87.645229)"
20-17-423-035-0000,6146,S,HALSTED,ST,3114,16,ENGLEWOOD,PD 1227,Englewood Mall,"6146 S HALSTED ST
CHICAGO, IL
(41.781895, -87.644935)"
20-17-400-028-0000,5959,S,RACINE,AVE,3837,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5959 S RACINE AVE
CHICAGO, IL
(41.785196, -87.654666)"
20-16-409-023-0000,328,W,61ST,ST,3536,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"328 W 61ST ST
CHICAGO, IL
(41.783592, -87.633879)"
20-20-415-022-0000,6851,S,GREEN,ST,3148,6,ENGLEWOOD,RS-3,67th/Wentworth,"6851 S GREEN ST
CHICAGO, IL
(41.769717, -87.64575)"
20-17-429-025-0000,6212,S,PEORIA,DR,3149,16,ENGLEWOOD,PD 1227,Englewood Neighborhood,"6212 S PEORIA DR
CHICAGO, IL
(41.780846, -87.647255)"
20-17-403-006-0000,1007,W,59TH,ST,3164,16,ENGLEWOOD,B3-1,Englewood Neighborhood,"1007 W 59TH ST
CHICAGO, IL
(41.786975, -87.65021)"
20-17-431-024-0000,6226,S,HALSTED,ST,9285,16,ENGLEWOOD,PD 1227,Englewood Mall,"6226 S HALSTED ST
CHICAGO, IL
(41.780669, -87.644881)"
20-21-307-025-0000,6828,S,UNION,AVE,6111,6,ENGLEWOOD,RT-4,67th/Wentworth,"6828 S UNION AVE
CHICAGO, IL
(41.769799, -87.64171)"
20-21-124-014-0000,709,W,66TH,PL,3147,6,ENGLEWOOD,RT-4,Englewood Neighborhood,"709 W 66TH PL
CHICAGO, IL
(41.773409, -87.643273)"
20-17-419-001-0000,6101,S,CARPENTER,ST,6052,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6101 S CARPENTER ST
CHICAGO, IL
(41.78332, -87.650968)"
20-16-101-015-0000,5537,S,EMERALD,AVE,6284,20,ENGLEWOOD,RS-3,NOT IN TIF,"5537 S EMERALD AVE
CHICAGO, IL
(41.793436, -87.643892)"
20-08-426-034-0000,1000,W,55TH,ST,10507,20,NEW CITY,RS-3,47th/Halsted,"1000 W 55TH ST
CHICAGO, IL
(41.794275, -87.650223)"
20-20-423-016-0000,6955,S,GREEN,ST,6887,6,ENGLEWOOD,RT-4,67th/Wentworth,"6955 S GREEN ST
CHICAGO, IL
(41.767818, -87.645707)"
20-16-102-029-0000,5603,S,UNION,AVE,3399,20,ENGLEWOOD,RS-3,NOT IN TIF,"5603 S UNION AVE
CHICAGO, IL
(41.792451, -87.642669)"
20-17-431-016-0000,814,W,63RD,ST,3121,16,ENGLEWOOD,PD 1227,Englewood Mall,"814 W 63RD ST
CHICAGO, IL
(41.779767, -87.645385)"
20-17-405-046-0000,5958,S,PEORIA,ST,3162,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5958 S PEORIA ST
CHICAGO, IL
(41.785298, -87.64736)"
20-16-200-053-0000,361,W,GARFIELD,BLVD,4566,3,ENGLEWOOD,RS-3,NOT IN TIF,"361 W GARFIELD BLVD
CHICAGO, IL
(41.794159, -87.635223)"
20-17-209-043-0000,5650,S,ABERDEEN,ST,3108,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5650 S ABERDEEN ST
CHICAGO, IL
(41.790923, -87.652368)"
20-21-106-024-0000,6338,S,EGGLESTON,AVE,6252,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6338 S EGGLESTON AVE
CHICAGO, IL
(41.778597, -87.63627)"
20-21-127-035-0000,508,W,66TH,PL,1322,6,ENGLEWOOD,RT-4,Englewood Neighborhood,"508 W 66TH PL
CHICAGO, IL
(41.773496, -87.63753)"
20-20-416-026-0000,6930,S,MAY,ST,3106,6,ENGLEWOOD,RS-3,NOT IN TIF,"6930 S MAY ST
CHICAGO, IL
(41.767689, -87.65296)"
20-21-125-026-0000,6637,S,UNION,AVE,8113,6,ENGLEWOOD,RT-4,Englewood Neighborhood,"6637 S UNION AVE
CHICAGO, IL
(41.773394, -87.642632)"
20-16-219-019-0000,5813,S,LA SALLE,ST,3011,20,ENGLEWOOD,RS-3,Washington Park,"5813 S LA SALLE ST
CHICAGO, IL
(41.788528, -87.629132)"
20-17-423-070-0000,807,W,61ST,,249,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"807 W 61ST
CHICAGO, IL
(41.783385, -87.645642)"
20-16-316-009-0000,529,W,61ST,ST,4077,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"529 W 61ST ST
CHICAGO, IL
(41.783502, -87.638729)"
20-20-219-022-0000,6500,S,MORGAN,ST,3140,6,ENGLEWOOD,RS-3,Englewood Neighborhood,"6500 S MORGAN ST
CHICAGO, IL
(41.775917, -87.649559)"
20-17-200-005-0000,1145,W,GARFIELD,BLVD,4128,16,ENGLEWOOD,B3-2,Englewood Neighborhood,"1145 W GARFIELD BLVD
CHICAGO, IL
(41.793822, -87.654004)"
20-17-210-014-0000,5635,S,ABERDEEN,ST,3367,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5635 S ABERDEEN ST
CHICAGO, IL
(41.791363, -87.652378)"
20-20-402-013-0000,6733,S,ABERDEEN,,3119,16,ENGLEWOOD,RS-3,NOT IN TIF,"6733 S ABERDEEN
CHICAGO, IL
(41.771786, -87.651893)"
20-17-415-030-0000,6048,S,HALSTED,ST,2947,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"6048 S HALSTED ST
CHICAGO, IL
(41.783678, -87.644985)"
20-17-401-036-0000,5930,S,ABERDEEN,ST,3104,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5930 S ABERDEEN ST
CHICAGO, IL
(41.786379, -87.652273)"
20-21-415-017-0000,154,W,70TH,,2255,6,GREATER GRAND CROSSING,RS-3,67th/Wentworth,"154 W 70TH
CHICAGO, IL
(41.767264, -87.629087)"
20-28-210-019-0000,7210,S,YALE,AVE,6211,6,GREATER GRAND CROSSING,RT-4,NOT IN TIF,"7210 S YALE AVE
CHICAGO, IL
(41.763167, -87.63096)"
20-20-223-021-0000,6504,S,HALSTED,ST,2951,20,ENGLEWOOD,B3-2,Englewood Neighborhood,"6504 S HALSTED ST
CHICAGO, IL
(41.775965, -87.644768)"
20-20-408-010-0000,6823,S,RACINE,AVE,3127,16,ENGLEWOOD,RS-3,NOT IN TIF,"6823 S RACINE AVE
CHICAGO, IL
(41.770097, -87.654262)"
20-17-227-013-0000,5839,S,CARPENTER,ST,3129,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5839 S CARPENTER ST
CHICAGO, IL
(41.787584, -87.651031)"
20-28-105-003-0000,7125,S,PARNELL,AV,16909,6,ENGLEWOOD,RT-4,67th/Wentworth,"7125 S PARNELL AV
CHICAGO, IL
(41.764865, -87.63832)"
20-17-200-006-0000,1139,W,GARFIELD,BLVD,6939,16,ENGLEWOOD,B3-2,Englewood Neighborhood,"1139 W GARFIELD BLVD
CHICAGO, IL
(41.793827, -87.653751)"
20-20-419-007-0000,1011,W,69TH,ST,2616,6,ENGLEWOOD,RS-3,67th/Wentworth,"1011 W 69TH ST
CHICAGO, IL
(41.768765, -87.649828)"
20-17-430-018-0000,6206,S,GREEN,ST,3093,16,ENGLEWOOD,PD 1227,Englewood Mall,"6206 S GREEN ST
CHICAGO, IL
(41.781332, -87.646255)"
20-17-418-003-0000,1053,W,61ST,ST,5927,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"1053 W 61ST ST
CHICAGO, IL
(41.783308, -87.651358)"
20-17-401-037-0000,5932,S,ABERDEEN,,3104,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5932 S ABERDEEN
CHICAGO, IL
(41.786342, -87.652273)"
20-17-429-010-0000,6225,S,SANGAMON,ST,2938,16,ENGLEWOOD,PD1227/C1-2,Englewood Neighborhood,"6225 S SANGAMON ST
CHICAGO, IL
(41.781001, -87.648479)"
20-20-430-027-0000,7042,S,GREEN,ST,4203,6,ENGLEWOOD,RT-4,NOT IN TIF,"7042 S GREEN ST
CHICAGO, IL
(41.766221, -87.645669)"
20-16-318-012-0000,729,W,61ST,PL,4724,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"729 W 61ST PL
CHICAGO, IL
(41.782501, -87.643266)"
20-21-321-004-0000,7009,S,HALSTED,ST,3155,6,ENGLEWOOD,B1-2,67th/Wentworth,"7009 S HALSTED ST
CHICAGO, IL
(41.76661, -87.644444)"
20-17-315-042-0000,6054,S,RACINE,AVE,3048,16,WEST ENGLEWOOD,B1-1,NOT IN TIF,"6054 S RACINE AVE
CHICAGO, IL
(41.783447, -87.654629)"
20-21-114-030-0000,6442,S,STEWART,AVE,4227,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6442 S STEWART AVE
CHICAGO, IL
(41.776811, -87.634942)"
20-21-324-001-0000,615,W,70TH,ST,9322,6,ENGLEWOOD,RS-3,67th/Wentworth,"615 W 70TH ST
CHICAGO, IL
(41.7671, -87.639736)"
20-17-424-030-0000,6240,S,MAY,ST,3107,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6240 S MAY ST
CHICAGO, IL
(41.780213, -87.653318)"
20-17-425-033-0000,6242,S,ABERDEEN,ST,3744,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6242 S ABERDEEN ST
CHICAGO, IL
(41.7802, -87.6521)"
20-20-203-020-0000,6347,S,CARPENTER,ST,3158,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6347 S CARPENTER ST
CHICAGO, IL
(41.778253, -87.650827)"
20-20-217-035-0000,6530,S,ABERDEEN,,4665,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6530 S ABERDEEN
CHICAGO, IL
(41.775456, -87.651962)"
20-16-100-009-0000,5529,S,HALSTED,ST,3056,20,ENGLEWOOD,B3-2,47th/Halsted,"5529 S HALSTED ST
CHICAGO, IL
(41.79345, -87.645134)"
20-16-204-049-0000,5616,S,LA SALLE,ST,3174,3,ENGLEWOOD,RS-3,Washington Park,"5616 S LA SALLE ST
CHICAGO, IL
(41.792183, -87.629239)"
20-20-210-022-0000,6402,S,CARPENTER,,3118,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6402 S CARPENTER
CHICAGO, IL
(41.777798, -87.650814)"
20-16-102-003-0000,655,W,GARFIELD,BLVD,1635,20,ENGLEWOOD,RT-4,47th/Halsted,"655 W GARFIELD BLVD
CHICAGO, IL
(41.794029, -87.64239)"
20-16-417-003-0000,6142,S,PRINCETON,AVE,1027,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"6142 S PRINCETON AVE
CHICAGO, IL
(41.782354, -87.632718)"
20-16-218-040-0000,5768,S,LASALLE,ST,4220,20,ENGLEWOOD,RS-3,Washington Park,"5768 S LASALLE ST
CHICAGO, IL
(41.788945, -87.629148)"
20-16-122-029-0000,5846,S,LOWE,AVE,3403,20,ENGLEWOOD,RS-3,NOT IN TIF,"5846 S LOWE AVE
CHICAGO, IL
(41.787546, -87.641333)"
20-17-419-012-0000,6125,S,CARPENTER,ST,2491,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6125 S CARPENTER ST
CHICAGO, IL
(41.782556, -87.65095)"
20-16-400-019-0000,330,W,59TH,PL,3686,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"330 W 59TH PL
CHICAGO, IL
(41.786317, -87.63406)"
20-17-430-005-0000,6213,S,PEORIA,ST,3048,16,ENGLEWOOD,PD 1227,Englewood Mall,"6213 S PEORIA ST
CHICAGO, IL
(41.780846, -87.647255)"
20-16-121-017-0000,5800,S,UNION,AVE,3895,20,ENGLEWOOD,RS-3,NOT IN TIF,"5800 S UNION AVE
CHICAGO, IL
(41.788749, -87.642598)"
20-17-423-059-0000,806,W,61ST,,866,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"806 W 61ST
CHICAGO, IL
(41.783385, -87.645653)"
20-20-422-032-0000,6950,S,GREEN,ST,11037,6,ENGLEWOOD,RT-4,NOT IN TIF,"6950 S GREEN ST
CHICAGO, IL
(41.767193, -87.645693)"
20-16-202-085-0000,5648,S,WELLS,ST,4299,3,ENGLEWOOD,RS-3,NOT IN TIF,"5648 S WELLS ST
CHICAGO, IL
(41.791162, -87.631743)"
20-17-214-005-0000,5617,S,PEORIA,ST,4356,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"5617 S PEORIA ST
CHICAGO, IL
(41.792001, -87.647523)"
20-21-324-036-0000,600,W,71ST,ST,15528,6,ENGLEWOOD,RS-3,67th/Wentworth,"600 W 71ST ST
CHICAGO, IL
(41.765287, -87.639889)"
20-16-300-023-0000,739,W,59TH,ST,5411,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"739 W 59TH ST
CHICAGO, IL
(41.787068, -87.644157)"
20-16-402-002-0000,351,W,59TH,PL,4476,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"351 W 59TH PL
CHICAGO, IL
(41.7863, -87.634754)"
20-16-301-064-0000,632,W,60TH,ST,3797,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"632 W 60TH ST
CHICAGO, IL
(41.784655, -87.64139)"
20-17-426-001-0000,6201,S,ABERDEEN,ST,3099,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6201 S ABERDEEN ST
CHICAGO, IL
(41.781255, -87.652133)"
20-16-415-007-0000,6119,S,STEWART,AVE,2460,20,ENGLEWOOD,RS-3,Englewood Neighborhood,"6119 S STEWART AVE
CHICAGO, IL
(41.782922, -87.635118)"
20-20-315-030-0000,6826,S,RACINE,AVE,3102,17,WEST ENGLEWOOD,B1-1,NOT IN TIF,"6826 S RACINE AVE
CHICAGO, IL
(41.769699, -87.654251)"
20-28-109-039-0000,7248,S,UNION,AVE,3865,6,ENGLEWOOD,RS-3,NOT IN TIF,"7248 S UNION AVE
CHICAGO, IL
(41.762005, -87.641478)"
20-16-102-057-0000,5536,S,LOWE,AVE,3116,20,ENGLEWOOD,RS-3,47th/Halsted,"5536 S LOWE AVE
CHICAGO, IL
(41.793448, -87.641472)"
20-21-306-011-0000,6835,S,HALSTED,ST,3154,6,ENGLEWOOD,B1-2,67th/Wentworth,"6835 S HALSTED ST
CHICAGO, IL
(41.769589, -87.644524)"
20-20-414-036-0000,6846,S,GREEN,ST,3164,6,ENGLEWOOD,RS-3,NOT IN TIF,"6846 S GREEN ST
CHICAGO, IL
(41.769217, -87.645737)"
20-17-424-018-0000,6210,S,MAY,ST,3107,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6210 S MAY ST
CHICAGO, IL
(41.781034, -87.653342)"
20-17-222-004-0000,5711,S,PEORIA,ST,3887,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5711 S PEORIA ST
CHICAGO, IL
(41.790169, -87.64748)"
20-28-200-001-0000,7101,S,STEWART,AVE,10927,6,GREATER GRAND CROSSING,B3-2,NOT IN TIF,"7101 S STEWART AVE
CHICAGO, IL
(41.764205, -87.634677)"
20-16-315-089-0000,751,W,61ST,,929,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"751 W 61ST
CHICAGO, IL
(41.783396, -87.644693)"
20-17-403-029-0000,5918,S,MORGAN,ST,3140,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5918 S MORGAN ST
CHICAGO, IL
(41.786457, -87.649831)"
20-21-323-027-0000,7012,S,LOWE,AVE,3151,6,ENGLEWOOD,RS-3,67th/Wentworth,"7012 S LOWE AVE
CHICAGO, IL
(41.766513, -87.64078)"
20-17-414-042-0000,6050,S,GREEN,ST,3100,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6050 S GREEN ST
CHICAGO, IL
(41.783715, -87.646105)"
20-16-219-029-0000,5837,S,LA SALLE,ST,3531,20,ENGLEWOOD,RS-3,Washington Park,"5837 S LA SALLE ST
CHICAGO, IL
(41.787843, -87.629106)"
20-21-113-032-0000,6446,S,EGGLESTON,AVE,3044,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6446 S EGGLESTON AVE
CHICAGO, IL
(41.776647, -87.636222)"
20-17-401-043-0000,5948,S,ABERDEEN,ST,3105,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5948 S ABERDEEN ST
CHICAGO, IL
(41.785531, -87.652254)"
20-17-423-047-0000,806,W,61ST,,467,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"806 W 61ST
CHICAGO, IL
(41.783385, -87.645653)"
20-28-107-026-0000,7120,S,STEWART,,6204,6,ENGLEWOOD,RT-4,67th/Wentworth,"7120 S STEWART
CHICAGO, IL
(41.764131, -87.634698)"
20-16-318-013-0000,727,W,61ST,PL,3150,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"727 W 61ST PL
CHICAGO, IL
(41.782504, -87.643176)"
20-17-406-006-0000,5913,S,PEORIA,ST,3140,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5913 S PEORIA ST
CHICAGO, IL
(41.786537, -87.647399)"
20-21-122-008-0000,419,W,65TH,PL,5921,20,ENGLEWOOD,RT-4,Englewood Neighborhood,"419 W 65TH PL
CHICAGO, IL
(41.775314, -87.635684)"
