Organization Name,Address,Street,City,State,Zip,X,Y,Description of Services Provided in Englewood,Family Stability,Foster care,Adoption services,Family support,Safe Place to Live,Provision of Food/clothing,Education,High School/GED Completion,Tutoring/homework help,Parenting classes/workshops,Leadership/character development programs (through mentoring),Service learning,College/career prep,Academic counseling,Enrichment field trips,Early childhood,Home visiting,Behavioral/self-management programs/workshops,Student clubs or curriculum enhancement (not tutoring),Arts/language programs,Health,"Preventive health visits (includes prenatal, dental/vision)",Vaccinations,Cessation programs,Nutrition & Wellness programs/counseling,Management of chronic conditions,Mental health counseling (general),Family & child counseling,Sexual assault counseling,Domestic violence support/counseling,Anger management counseling,Physical activity/sports,Family planning,HIV/AIDS programs,Substance abuse/addiction treatment,Public Safety,Engage youth to prevent gang participation,Workshops focused on violence prevention,Economic,Job training,youth employment (internships),Job placement (long-term),Dance,Media Arts,Music,OtherDiscipline,Theater,Visual Arts,DIscNA,Field Trips,In School Performance,Other Services,After School Programs,Professional development,Residency,Resources,Writing/poetry,Arts & crafts
Youth Guidance,"1 N La Salle St, Chicago, Illinois, 60602",1 N La Salle St,Chicago,Illinois,60602,-87.632374,41.882282,"Administers the Strive program, which is school-based.  Services include one-on-one counseling, college tours, social and educational enrichment field trips, parent and family engagement educational workshops, and other educational activities.",,,,,,,1,,,1,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Joffrey Ballet,"10 E Randolph St, Chicago, Illinois, 60601",10 E Randolph St,Chicago,Illinois,60601,-87.627574,41.884471,"Works through schools to provide dance, field trips, in school performance, after school programs, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,1,1,1,1,,
Salvation Army Divisional Headquarters,"10 W Algonquin Rd, Des Plaines, Illinois, 60016",10 W Algonquin Rd,Des Plaines,Illinois,60016,-87.921882,42.030449,"Works through schools to provide music, field trips, in school performance, after school programs, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,1,1,0,1,1,,
Adventure Stage Chicago,"1012 N Noble St, Chicago, Illinois, 60642",1012 N Noble St,Chicago,Illinois,60642,-87.662569,41.900419,"Works through schools to provide theater, field trips, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,0,1,0,1,1,1,,
Free Lunch Academy,"10636 S Rhodes Ave, Chicago, Illinois, 60628",10636 S Rhodes Ave,Chicago,Illinois,60628,-87.609988,41.70082,"Works through schools to provide dance, theater, field trips, in school performance, after school programs, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,1,1,1,1,1,1,,
SGA Youth and Family Services,"11 E Adams St, Chicago, Illinois, 60603",11 E Adams St,Chicago,Illinois,60603,-87.6273,41.879474,"Administers Early Advantage, which is school based. Early Advantage works with pregnant and parenting mothers and fathers to become their child's first and most important teacher. Goals are to prepare children for success in school, encourage parent/child bonding, promote parenting skills, link parents with resources, and offer social-emotional support.",,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Dramatists,"1105 W Chicago Ave, Chicago, Illinois, 60642",1105 W Chicago Ave,Chicago,Illinois,60642,-87.655138,41.896243,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1,1,,
Music of the Baroque,"111 N Wabash Ave, Chicago, Illinois, 60602",111 N Wabash Ave,Chicago,Illinois,60602,-87.626214,41.88357,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,1,0,0,1,1,,
The Art Institute of Chicago,"111 S Michigan Ave, Chicago, Illinois, 60603",111 S Michigan Ave,Chicago,Illinois,60603,-87.624229,41.880452,"Works through schools to provide media arts, visual arts, field trips, in school performance, after school programs, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,1,1,1,1,1,1,,
Building Blocks,"1120 W 69th St, Chicago, Illinois, 60621",1120 W 69th St,Chicago,Illinois,60621,-87.652659,41.768735,Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood Health Center of Cook County,"1135 W 69th St, Chicago, Illinois, 60621",1135 W 69th St,Chicago,Illinois,60621,-87.653361,41.768663,"Health center that provides following services: Behavioral Health, Behavioral Health/Psychologist, Family Medicine, Psychologist, and Social Work.",,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass,"1140 W 66th St, Chicago, Illinois, 60621",1140 W 66th St,Chicago,Illinois,60621,-87.653364,41.774191,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,1,,1,,,1,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DFSS Community Service Center--Englewood Center,"1140 W 79th St, Chicago, Illinois, 60620",1140 W 79th St,Chicago,Illinois,60620,-87.652932,41.750528,"Helps individuals and families in need with a wide range of resources from shelter, food and clothing to domestic violence assistance, job training/placement and prisoner re-entry. ",1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,
Young Chicago Authors,"1180 N Milwaukee Ave, Chicago, Illinois, 60642",1180 N Milwaukee Ave,Chicago,Illinois,60642,-87.666227,41.903165,YCA offers free public workshops and fee-based programs where artistic staff and teaching artists deliver customized programming to school and community organizations. ,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
Urban League Boys and Girls Club,"1214 N Washtenaw Ave, Chicago, Illinois, 60622",1214 N Washtenaw Ave,Chicago,Illinois,60622,-87.694464,41.903413,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,1,0,1,0,1,1,,
Human Resources Development Institute - Women's Residential Program ,"1223 W Marquette Rd, Chicago, Illinois, 60636",1223 W Marquette Rd,Chicago,Illinois,60636,-87.655261,41.772283,Provides addiction treatment services; family services; community health; case management; counseling for mental health and disabilities; alternative youth education; HIV/AIDS prevention and education; and gambling prevention and education.,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Elite House of Sober Living Inc. ,"1236 W 72nd Pl, Chicago, Illinois, 60636",1236 W 72nd Pl,Chicago,Illinois,60636,-87.655482,41.762328,"Provides structured living environment, counseling, and case management for individuals that struggle with alcohol/drugs, criminal lifestyles, and homelessness.",1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Just Like Home Childcare Center Inc,"1249 W 63rd St, Chicago, Illinois, 60636",1249 W 63rd St,Chicago,Illinois,60636,-87.656511,41.779553,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth,"1340 W 71st St, Chicago, Illinois, 60636",1340 W 71st St,Chicago,Illinois,60636,-87.657933,41.765038,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIFT: Englewood Youth Orchestra,"1340 W 71st St, Chicago, Illinois, 60636",1340 W 71st St,Chicago,Illinois,60636,-87.657933,41.765038,Engages youth in intensive music training for 10 hours per week and academic tutoring on an as-needed basis. ,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,0,0,1,0,,
"Universal Family Connection, Inc.","1350 W 103rd St, Chicago, Illinois, 60643",1350 W 103rd St,Chicago,Illinois,60643,-87.656997,41.706821,"Programs include individual and family counseling, targeted case management, family reunification and stabilization programs, domestic violence prevention and survivor treatment, child abuse prevention and counseling programs, educational and employment programs and various volunteer and training initiatives.",1,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,
Crushers club,"1406 W 64th St, Chicago, Illinois, 60636",1406 W 64th St,Chicago,Illinois,60636,-87.659651,41.777737,Youth boxing club with a mission to provide a strong alternative to gangs.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Community Organizing and Family Issues (COFI),"1436 W Randolph St, Chicago, Illinois, 60607",1436 W Randolph St,Chicago,Illinois,60607,-87.663561,41.884244,"Programs include parent leadership training; support for parent action teams and parent-led campaigns, including running Parent Peace Centers, early learning outreach, and summer meal site outreach, as well as training on COFI’s parent leadership model.",,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
