14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-19-214-007-0000,6417,S,PAULINA,ST,3074,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6417 S PAULINA ST
CHICAGO, IL
(41.777178, -87.666613)"
20-19-220-013-0000,6537,S,WOOD,ST,3716,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6537 S WOOD ST
CHICAGO, IL
(41.774617, -87.668967)"
20-20-324-004-0000,7007,S,ASHLAND,AVE,2729,17,WEST ENGLEWOOD,RS-2,69th and Ashland,"7007 S ASHLAND AVE
CHICAGO, IL
(41.766371, -87.66379)"
20-18-222-020-0000,5751,S,PAULINA,ST,3121,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5751 S PAULINA ST
CHICAGO, IL
(41.788987, -87.666867)"
20-17-116-013-0000,5737,S,ASHLAND,AVE,2834,16,WEST ENGLEWOOD,PD 1142,63rd/Ashland,"5737 S ASHLAND AVE
CHICAGO, IL
(41.789334, -87.664392)"
20-29-104-018-0000,1237,W,71ST,ST,3103,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1237 W 71ST ST
CHICAGO, IL
(41.765043, -87.655549)"
20-19-218-007-0000,6519,S,WOLCOTT,AVE,3691,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6519 S WOLCOTT AVE
CHICAGO, IL
(41.775109, -87.671357)"
20-19-422-037-0000,6934,S,MARSHFIELD,AVE,3118,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6934 S MARSHFIELD AVE
CHICAGO, IL
(41.767334, -87.665114)"
20-19-430-029-0000,7024,S,MARSHFIELD,AVE,3059,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7024 S MARSHFIELD AVE
CHICAGO, IL
(41.765873, -87.665083)"
20-19-200-020-0000,1950,W,64TH,ST,7775,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"1950 W 64TH ST
CHICAGO, IL
(41.777539, -87.673019)"
20-18-425-041-0000,1904,W,63RD,ST,3001,15,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1904 W 63RD ST
CHICAGO, IL
(41.779334, -87.672396)"
20-18-225-022-0000,5830,S,WOLCOTT,AVE,2977,15,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5830 S WOLCOTT AVE
CHICAGO, IL
(41.787427, -87.671678)"
20-17-400-028-0000,5959,S,RACINE,AVE,3837,16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5959 S RACINE AVE
CHICAGO, IL
(41.785196, -87.654666)"
20-20-331-006-0000,7015,S,ELIZABETH,,3108,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7015 S ELIZABETH
CHICAGO, IL
(41.766616, -87.655356)"
20-18-214-003-0000,5605,S,PAULINA,ST,3742,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5605 S PAULINA ST
CHICAGO, IL
(41.792019, -87.666935)"
20-19-313-015-0000,6815,S,BELL,AVE,12497,16,CHICAGO LAWN,M1-1,NOT IN TIF,"6815 S BELL AVE
CHICAGO, IL
(41.769663, -87.679626)"
20-20-326-041-0000,1440,W,71ST,ST,3110,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1440 W 71ST ST
CHICAGO, IL
(41.764963, -87.660581)"
20-18-225-024-0000,5836,S,WOLCOTT,AVE,3103,15,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5836 S WOLCOTT AVE
CHICAGO, IL
(41.78731, -87.671674)"
20-17-120-036-0000,5728,S,ADA,ST,3119,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5728 S ADA ST
CHICAGO, IL
(41.789666, -87.658384)"
20-20-107-001-0000,1225,W,63RD,ST,3100,16,WEST ENGLEWOOD,C1-2,Englewood Neighborhood,"1225 W 63RD ST
CHICAGO, IL
(41.779603, -87.655463)"
20-17-328-037-0000,1414,W,63RD,ST,7550,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1414 W 63RD ST
CHICAGO, IL
(41.779543, -87.660093)"
20-18-430-007-0000,6231,S,PAULINA,ST,3115,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6231 S PAULINA ST
CHICAGO, IL
(41.780155, -87.666633)"
20-18-412-024-0000,6014,S,HERMITAGE,AVE,3106,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6014 S HERMITAGE AVE
CHICAGO, IL
(41.784439, -87.667984)"
20-19-211-023-0000,6402,S,WOOD,ST,3070,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6402 S WOOD ST
CHICAGO, IL
(41.777351, -87.66901)"
20-17-200-005-0000,1145,W,GARFIELD,BLVD,4128,16,ENGLEWOOD,B3-2,Englewood Neighborhood,"1145 W GARFIELD BLVD
CHICAGO, IL
(41.793822, -87.654004)"
20-18-427-022-0000,6210,S,WOOD,ST,2980,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6210 S WOOD ST
CHICAGO, IL
(41.781032, -87.669095)"
20-17-116-009-0000,5727,S,ASHLAND,AVE,2833,16,WEST ENGLEWOOD,PD 1142,63rd/Ashland,"5727 S ASHLAND AVE
CHICAGO, IL
(41.789617, -87.664397)"
20-19-422-003-0000,1653,W,69TH,ST,3126,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1653 W 69TH ST
CHICAGO, IL
(41.768531, -87.665929)"
20-17-305-018-0000,5935,S,ADA,ST,3120,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5935 S ADA ST
CHICAGO, IL
(41.785762, -87.658314)"
20-19-429-005-0000,7011,S,HERMITAGE,AVE,3127,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7011 S HERMITAGE AVE
CHICAGO, IL
(41.766309, -87.667495)"
20-30-215-018-0000,7243,S,MARSHFIELD,AVE,3115,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7243 S MARSHFIELD AVE
CHICAGO, IL
(41.761787, -87.664964)"
20-17-327-041-0000,1434,W,63RD,ST,5147,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1434 W 63RD ST
CHICAGO, IL
(41.779533, -87.660771)"
20-20-408-010-0000,6823,S,RACINE,AVE,3127,16,ENGLEWOOD,RS-3,NOT IN TIF,"6823 S RACINE AVE
CHICAGO, IL
(41.770097, -87.654262)"
20-20-309-014-0000,6833,S,JUSTINE,ST,3127,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6833 S JUSTINE ST
CHICAGO, IL
(41.76939, -87.662761)"
20-19-212-026-0000,6420,S,HERMITAGE,AVE,3713,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6420 S HERMITAGE AVE
CHICAGO, IL
(41.776987, -87.667838)"
20-19-210-020-0000,6459,S,WOLCOTT,AVE,3406,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6459 S WOLCOTT AVE
CHICAGO, IL
(41.775845, -87.671389)"
20-19-200-004-0000,1947,W,63RD,ST,6972,15,WEST ENGLEWOOD,C1-2,63rd/Ashland,"1947 W 63RD ST
CHICAGO, IL
(41.779314, -87.673382)"
20-18-429-038-0000,1712,W,63RD,ST,3126,15,WEST ENGLEWOOD,B3-2,63rd/Ashland,"1712 W 63RD ST
CHICAGO, IL
(41.779471, -87.667185)"
20-20-116-035-0000,1538,W,MARQUETTE,RD,3117,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1538 W MARQUETTE RD
CHICAGO, IL
(41.772221, -87.663106)"
20-17-302-002-0000,1445,W,59TH,ST,4999,16,WEST ENGLEWOOD,C1-1,63rd/Ashland,"1445 W 59TH ST
CHICAGO, IL
(41.78682, -87.661293)"
20-19-225-005-0000,6611,S,WINCHESTER,AVE,3713,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6611 S WINCHESTER AVE
CHICAGO, IL
(41.773526, -87.672561)"
20-17-315-042-0000,6054,S,RACINE,AVE,3048,16,WEST ENGLEWOOD,B1-1,NOT IN TIF,"6054 S RACINE AVE
CHICAGO, IL
(41.783447, -87.654629)"
20-20-110-012-0000,6429,S,BISHOP,,3108,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6429 S BISHOP
CHICAGO, IL
(41.777202, -87.66053)"
20-18-208-019-0000,5655,S,DAMEN,AVE,7468,15,WEST ENGLEWOOD,B1-1,NOT IN TIF,"5655 S DAMEN AVE
CHICAGO, IL
(41.790505, -87.674213)"
20-19-413-042-0000,1712,W,69TH,ST,3124,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1712 W 69TH ST
CHICAGO, IL
(41.768515, -87.667015)"
20-30-214-014-0000,7237,S,PAULINA,,3119,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7237 S PAULINA
CHICAGO, IL
(41.762405, -87.666187)"
20-18-112-021-0000,5610,S,DAMEN,AVE,3005,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5610 S DAMEN AVE
CHICAGO, IL
(41.791757, -87.674235)"
20-19-313-009-0000,6815,S,BELL,AVE,3122,16,CHICAGO LAWN,M1-1,NOT IN TIF,"6815 S BELL AVE
CHICAGO, IL
(41.769663, -87.679626)"
20-20-320-002-0000,1355,W,69TH,ST,3127,6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1355 W 69TH ST
CHICAGO, IL
(41.768632, -87.658649)"
20-17-130-022-0000,5841,S,THROOP,ST,3319,16,WEST ENGLEWOOD,M1-1,NOT IN TIF,"5841 S THROOP ST
CHICAGO, IL
(41.787438, -87.657144)"
20-18-418-038-0000,6132,S,HONORE,ST,3103,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6132 S HONORE ST
CHICAGO, IL
(41.782434, -87.670343)"
20-20-309-033-0000,6836,S,LAFLIN,ST,3128,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6836 S LAFLIN ST
CHICAGO, IL
(41.769323, -87.661536)"
20-17-102-036-0000,1457,W,55TH,ST,2291,16,WEST ENGLEWOOD,RT-4,NOT IN TIF,"1457 W 55TH ST
CHICAGO, IL
(41.793715, -87.661926)"
20-17-126-024-0000,5844,S,BISHOP,ST,3146,16,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5844 S BISHOP ST
CHICAGO, IL
(41.78726, -87.660766)"
20-18-428-023-0000,6222,S,HERMITAGE,AVE,6200,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6222 S HERMITAGE AVE
CHICAGO, IL
(41.780507, -87.667868)"
20-18-427-004-0000,6209,S,HONORE,ST,3600,15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6209 S HONORE ST
CHICAGO, IL
(41.780821, -87.670311)"
20-19-421-008-0000,1707,W,69TH,ST,3125,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1707 W 69TH ST
CHICAGO, IL
(41.768519, -87.666744)"
20-30-215-041-0000,7242,S,ASHLAND,AVE,2900,17,WEST ENGLEWOOD,C2-2,NOT IN TIF,"7242 S ASHLAND AVE
CHICAGO, IL
(41.761819, -87.663803)"
20-20-307-006-0000,6741,S,ELIZABETH,AVE,3099,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6741 S ELIZABETH AVE
CHICAGO, IL
(41.771423, -87.655505)"
20-19-308-008-0000,2107,W,67TH,PL,3096,16,WEST ENGLEWOOD,RS-2,NOT IN TIF,"2107 W 67TH PL
CHICAGO, IL
(41.771128, -87.676482)"
20-17-327-038-0000,1446,W,63RD,ST,3176,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1446 W 63RD ST
CHICAGO, IL
(41.779528, -87.661092)"
20-20-315-030-0000,6826,S,RACINE,AVE,3102,17,WEST ENGLEWOOD,B1-1,NOT IN TIF,"6826 S RACINE AVE
CHICAGO, IL
(41.769699, -87.654251)"
20-17-308-043-0000,1534,W,61ST,ST,2850,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1534 W 61ST ST
CHICAGO, IL
(41.783149, -87.663209)"
20-17-328-039-0000,1410,W,63RD,ST,3143,16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1410 W 63RD ST
CHICAGO, IL
(41.779546, -87.659883)"
20-20-104-003-0000,1337,W,63RD,ST,3124,16,WEST ENGLEWOOD,PD 911,Englewood Neighborhood,"1337 W 63RD ST
CHICAGO, IL
(41.779563, -87.658388)"
20-20-323-001-0000,1223,W,69TH,ST,6171,6,WEST ENGLEWOOD,RS-3,67th/Wentworth,"1223 W 69TH ST
CHICAGO, IL
(41.768683, -87.655267)"
